"","sampleID","percent_aquatic_pa","percent_aquatic_ra","num_fam","parental_investment_proj","band","species","location","site","nest","year","age","sex","capture_date","cap_doy","cap_num","age.1","age_nestad","mass","bhead","fwing","sseries_type","cort1_raw","cort1_correct","glucose1","buty","cort2_raw","cort2_correct","glucose2","inject1_type","inject1_dose","inject2_type","inject2_dose","cort3_raw","cort3_correct","glucose3","fate","micro_nb","blood_nb","bolus_nb","lifetag_nb","Notes","site_box_year","Nest_Experiment","Nest_Treatment","Day6_Brood_Mass","Brood_Size_Day6","avg_day6_mass","exp_treat","TotalReads"
"1","L19N005a",0.6,0.833333333333333,5,"yes","","TRES","Ithaca","Unit_4","94","2019","Nestling","","","161","","6","6",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","","","","","Unit_4_94_2019","Light","Light_Control",64.85,5,12.97,"Light_Light_Control",12
"2","L19N005b",0.714285714285714,0.901960784313726,7,"yes","","TRES","Ithaca","Unit_4","94","2019","Nestling","","","161","","6","6",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","","","","","Unit_4_94_2019","Light","Light_Control",64.85,5,12.97,"Light_Light_Control",51
"3","L19N005c",0.4,0.25,5,"yes","","TRES","Ithaca","Unit_4","94","2019","Nestling","","","161","","6","6",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","","","","","Unit_4_94_2019","Light","Light_Control",64.85,5,12.97,"Light_Light_Control",8
"4","L19N005d",0.8,0.995260663507109,5,"yes","","TRES","Ithaca","Unit_4","94","2019","Nestling","","","161","","6","6",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","","","","","Unit_4_94_2019","Light","Light_Control",64.85,5,12.97,"Light_Light_Control",211
"5","L19N006a",0.545454545454545,0.999521531100478,11,"yes","","TRES","Ithaca","Turkey_Hill","3","2019","Nestling","","","162","","6","6",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","","","","","Turkey_Hill_3_2019","Light","Light",65.25,5,13.05,"Light_Light",14630
"6","L19N006b",0.5,0.441767068273092,10,"yes","","TRES","Ithaca","Turkey_Hill","3","2019","Nestling","","","162","","6","6",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","","","","","Turkey_Hill_3_2019","Light","Light",65.25,5,13.05,"Light_Light",1743
"7","L19N006c",0.5,0.327433628318584,10,"yes","","TRES","Ithaca","Turkey_Hill","3","2019","Nestling","","","162","","6","6",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","","","","","Turkey_Hill_3_2019","Light","Light",65.25,5,13.05,"Light_Light",113
"8","L19N006d",0.4,0.578313253012048,5,"yes","","TRES","Ithaca","Turkey_Hill","3","2019","Nestling","","","162","","6","6",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","","","","","Turkey_Hill_3_2019","Light","Light",65.25,5,13.05,"Light_Light",83
"9","L19N006e",0.555555555555556,0.914893617021277,9,"yes","","TRES","Ithaca","Turkey_Hill","3","2019","Nestling","","","162","","6","6",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","","","","","Turkey_Hill_3_2019","Light","Light",65.25,5,13.05,"Light_Light",47
"10","L19N007a",0.833333333333333,0.988062077198567,6,"yes","","TRES","Ithaca","Turkey_Hill","106","2019","Nestling","","","162","","6","6",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","","","","","Turkey_Hill_106_2019","Light","Light",48.91,5,9.782,"Light_Light",2513
"11","L19N007b",0.75,0.96,4,"yes","","TRES","Ithaca","Turkey_Hill","106","2019","Nestling","","","162","","6","6",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","","","","","Turkey_Hill_106_2019","Light","Light",48.91,5,9.782,"Light_Light",25
"12","L19N007d",0.545454545454545,0.998612872542803,11,"yes","","TRES","Ithaca","Turkey_Hill","106","2019","Nestling","","","162","","6","6",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","","","","","Turkey_Hill_106_2019","Light","Light",48.91,5,9.782,"Light_Light",25232
