"","species","location","site","nest","year","site_box_year","n_sampleID","n_percent_aquatic_pa","n_percent_aquatic_ra","n_num_fam","n_parental_investment_proj","n_band","n_age","n_sex","n_capture_date","n_cap_doy","n_cap_num","n_age.1","n_age_nestad","n_mass","n_bhead","n_fwing","n_sseries_type","n_cort1_raw","n_cort1_correct","n_glucose1","n_buty","n_cort2_raw","n_cort2_correct","n_glucose2","n_inject1_type","n_inject1_dose","n_inject2_type","n_inject2_dose","n_cort3_raw","n_cort3_correct","n_glucose3","n_fate","n_micro_nb","n_blood_nb","n_bolus_nb","n_lifetag_nb","n_Notes","n_Nest_Experiment","n_Nest_Treatment","n_Day6_Brood_Mass","n_Brood_Size_Day6","n_avg_day6_mass","n_exp_treat","n_TotalReads","ad_Individual_Band","ad_Adult_or_Nestling","ad_Sex","ad_Experiment","ad_Individual_Treatment","ad_RFID_On","ad_Individual_RFID","ad_Manipulated_after_1st_capture","ad_Capture_Date","ad_Capture_Number","ad_Method","ad_Leg_Banded","ad_Status","ad_Age","ad_Measured_by","ad_Mass","ad_Bill.Head","ad_Flat_Wing","ad_Tail","ad_Fat","ad_Culmen","ad_Ectoparasites_Presence","ad_Genetic_Mom","ad_Genetic_Dad","ad_Current_Brood_Size","ad_Natal_Nest","ad_Trap_set","ad_Disturbance_Time","ad_Bleed1_Latency","ad_Stress_Series_Type","ad_Bleed1_Amount","ad_Bleed1_Plasma_nb","ad_Base_Plasma_Sample_Box","ad_Baseline_Sample_Location","ad_Bleed1_CORT_Raw","ad_Bleed1_CORT_corrected_value","ad_Bleed1_OXY","ad_Bleed1_dROMs","ad_Bleed1_Glucose","ad_BUTY","ad_Bleed2_Time","ad_Bleed2_Amount","ad_Bleed2_Plasma_nb","ad_Stress_Plasma_Sample_Box","ad_Stress_Sample_Location","ad_Bleed2_CORT_Raw","ad_Bleed2_CORT_corrected_value","ad_Bleed2_OXY","ad_Bleed2_dROMs","ad_Bleed2_Glucose","ad_Inject_1_Type","ad_Inject_1_Dose","ad_Inject_1_Time","ad_Inject_2_Type","ad_Inject_2_Dose","ad_Inject_2_Time","ad_Bleed3_Time","ad_Bleed3_Amount","ad_Bleed3_Plasma_nb","ad_Dex_Plasma_Sample_Box","ad_Dex_Sample_Location","ad_Bleed3_CORT_Raw","ad_Bleed3_CORT_corrected_value","ad_Bleed3_Glucose","ad_Release_Time","ad_Nestling_Fate","ad_Feathers_Sample_nb","ad_Telomeres","ad_Telomere_Sample_nb","ad_Telomeres_Box","ad_Telomeres_Sample_Location","ad_Microbiome","ad_Microbiome_Sample_nb","ad_Microbiome_Box","ad_Microbiome_Sample_Location","ad_Blood_DNA_Collected","ad_Blood_DNA_Sample_nb","ad_Fecal_Sample_nb","ad_Bolus_nb","ad_Blood_Smear_Collected","ad_Lifetag_nb","ad_Bacteria_Killing_Assay","ad_CORT_AssayCode","ad_Extraction_Efficiency","ad_RIA_or_EIA","ad_OXY_AssayCode","ad_dROMS_AssayCode","ad_Notes"
"1","TRES","Ithaca","Turkey_Hill","106","2019","Turkey_Hill_106_2019","L19N007a",0.833333333333333,0.988062077198567,6,"yes","","Nestling","","","162","","6","6",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","","","","","Light","Light",48.91,5,9.782,"Light_Light",2513,278172401,"Adult","F","Light","Light","Old","","Yes","11-Jun-19",3,"Int_Wig_Wag","R",2,"ASY","JJU",19.5,NA,115,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S",7.5,"19N0553","","",1.06,1.12,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"00-Jan-00","","","","","","","","","","","Yes","190253","","","","61340066",NA,"19CORT018","94.6%","EIA","","",""
"2","TRES","Ithaca","Turkey_Hill","106","2019","Turkey_Hill_106_2019","L19N007b",0.75,0.96,4,"yes","","Nestling","","","162","","6","6",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","","","","","Light","Light",48.91,5,9.782,"Light_Light",25,278172401,"Adult","F","Light","Light","Old","","Yes","11-Jun-19",3,"Int_Wig_Wag","R",2,"ASY","JJU",19.5,NA,115,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S",7.5,"19N0553","","",1.06,1.12,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"00-Jan-00","","","","","","","","","","","Yes","190253","","","","61340066",NA,"19CORT018","94.6%","EIA","","",""
"3","TRES","Ithaca","Turkey_Hill","106","2019","Turkey_Hill_106_2019","L19N007d",0.545454545454545,0.998612872542803,11,"yes","","Nestling","","","162","","6","6",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","","","","","Light","Light",48.91,5,9.782,"Light_Light",25232,278172401,"Adult","F","Light","Light","Old","","Yes","11-Jun-19",3,"Int_Wig_Wag","R",2,"ASY","JJU",19.5,NA,115,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S",7.5,"19N0553","","",1.06,1.12,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"00-Jan-00","","","","","","","","","","","Yes","190253","","","","61340066",NA,"19CORT018","94.6%","EIA","","",""
"4","TRES","Ithaca","Turkey_Hill","106","2019","Turkey_Hill_106_2019","P19N304",0.461538461538462,0.89080459770115,13,"no","278172433","Nestling","Unknown","6/16/19","167","","12","12",19.5,24.5,47,"B_S_D",1.51,1.88,NA,NA,35.39,43.92,NA,"Dex",9,"",NA,6.48,8.05,NA,"Fledged","","190504","","","Day 6 date is actually day 7.","Light","Light",48.91,5,9.782,"Light_Light",174,278172401,"Adult","F","Light","Light","Old","","Yes","11-Jun-19",3,"Int_Wig_Wag","R",2,"ASY","JJU",19.5,NA,115,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S",7.5,"19N0553","","",1.06,1.12,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"00-Jan-00","","","","","","","","","","","Yes","190253","","","","61340066",NA,"19CORT018","94.6%","EIA","","",""
"5","TRES","Ithaca","Turkey_Hill","106","2019","Turkey_Hill_106_2019","P19N305",0.294117647058824,0.383787207093097,17,"no","278172437","Nestling","Unknown","6/16/19","167","","12","12",16,23.7,37,"B_S_D",0.5,0.63,NA,NA,30.68,38.08,NA,"Dex",7,"",NA,4.08,5.07,NA,"Fledged","","190508","","","","Light","Light",48.91,5,9.782,"Light_Light",1579,278172401,"Adult","F","Light","Light","Old","","Yes","11-Jun-19",3,"Int_Wig_Wag","R",2,"ASY","JJU",19.5,NA,115,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S",7.5,"19N0553","","",1.06,1.12,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"00-Jan-00","","","","","","","","","","","Yes","190253","","","","61340066",NA,"19CORT018","94.6%","EIA","","",""
"6","TRES","Ithaca","Turkey_Hill","106","2019","Turkey_Hill_106_2019","LN19007c",0.6,0.550724637681159,5,"yes","","Nestling","","","162","","6","6",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","","","","","Light","Light",48.91,5,9.782,"Light_Light",69,278172401,"Adult","F","Light","Light","Old","","Yes","11-Jun-19",3,"Int_Wig_Wag","R",2,"ASY","JJU",19.5,NA,115,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S",7.5,"19N0553","","",1.06,1.12,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"00-Jan-00","","","","","","","","","","","Yes","190253","","","","61340066",NA,"19CORT018","94.6%","EIA","","",""
"7","TRES","Ithaca","Turkey_Hill","11","2019","Turkey_Hill_11_2019","P19N279",0.291666666666667,0.736261261261261,24,"no","278172308","Nestling","Unknown","6/15/19","166","","12","12",19,26.9,58,"B_S_D",1.65,2.05,NA,NA,20.06,24.89,NA,"Dex",8.5,"",NA,7,8.7,NA,"Fledged","","190421","","","","Light","Light_Control",74.27,5,14.854,"Light_Light_Control",4440,272106697,"Adult","F","Light","Light_Control","Old","","Control","09-Jun-19",3,"Flap_Trap","R",2,"ASY","JJU",20.75,NA,117,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S_D",9.5,"19N0476","","",3.66,3.87,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"00-Jan-00","","","","","","","","","","","Yes","19N0476","P19N167","","","",NA,"19CORT017","94.6%","EIA","","",""
"8","TRES","Ithaca","Turkey_Hill","11","2019","Turkey_Hill_11_2019","P19N278",0.388888888888889,0.99166502268692,18,"no","278172307","Nestling","Unknown","6/15/19","166","","12","12",23,26.4,59,"B_S_D",4.78,5.94,NA,NA,23.99,29.77,NA,"Dex",10.5,"",NA,7.7,9.56,NA,"Fledged","","190420","","","","Light","Light_Control",74.27,5,14.854,"Light_Light_Control",20276,272106697,"Adult","F","Light","Light_Control","Old","","Control","09-Jun-19",3,"Flap_Trap","R",2,"ASY","JJU",20.75,NA,117,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S_D",9.5,"19N0476","","",3.66,3.87,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"00-Jan-00","","","","","","","","","","","Yes","19N0476","P19N167","","","",NA,"19CORT017","94.6%","EIA","","",""
"9","TRES","Ithaca","Turkey_Hill","11","2019","Turkey_Hill_11_2019","P19N281",0.384615384615385,0.0948400578685099,13,"no","278172310","Nestling","Unknown","6/15/19","166","","12","12",22,26.1,57,"B_S_D",36.03,44.72,NA,NA,1.51,1.88,NA,"Dex",10,"",NA,15.33,19.03,NA,"Died","","190423","","","","Light","Light_Control",74.27,5,14.854,"Light_Light_Control",12442,272106697,"Adult","F","Light","Light_Control","Old","","Control","09-Jun-19",3,"Flap_Trap","R",2,"ASY","JJU",20.75,NA,117,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S_D",9.5,"19N0476","","",3.66,3.87,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"00-Jan-00","","","","","","","","","","","Yes","19N0476","P19N167","","","",NA,"19CORT017","94.6%","EIA","","",""
"10","TRES","Ithaca","Turkey_Hill","11","2019","Turkey_Hill_11_2019","P19N280",0.380952380952381,0.818044734858005,21,"no","278172309","Nestling","Unknown","6/15/19","166","","12","12",20.75,24.6,56,"B_S_D",2.44,3.04,NA,NA,14.41,17.89,NA,"Dex",9.5,"",NA,11.82,14.67,NA,"Fledged","","190422","","","","Light","Light_Control",74.27,5,14.854,"Light_Light_Control",11937,272106697,"Adult","F","Light","Light_Control","Old","","Control","09-Jun-19",3,"Flap_Trap","R",2,"ASY","JJU",20.75,NA,117,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S_D",9.5,"19N0476","","",3.66,3.87,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"00-Jan-00","","","","","","","","","","","Yes","19N0476","P19N167","","","",NA,"19CORT017","94.6%","EIA","","",""
"11","TRES","Ithaca","Turkey_Hill","121","2019","Turkey_Hill_121_2019","L19N008b",0.307692307692308,0.939673969473575,13,"yes","","Nestling","","","162","","6","6",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","","","","","Light","Light_Control",70,6,11.6666666666667,"Light_Light_Control",9631,278172403,"Adult","F","Light","Light_Control","Old","","Control","11-Jun-19",3,"Flap_Trap","R",2,"ASY","ASI",20.5,NA,114,NA,NA,NA,"",NA,NA,NA,NA,"00-Jan-00","00-Jan-00","00-Jan-00","B_S",10,"19N0554","","",2.83,3,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"","","",NA,NA,NA,"00-Jan-00","","","","","","","","","","","Yes","190254","","","","6134612D",NA,"19CORT018","94.6%","EIA","","",""
