order,family,life_history,aquatic_life_stage_habitat,common_name,Tim_and_Danielle_difference,sources,Tim_notes,Danielle_notes,,,,,,,,,,,
Hemiptera,Acanthosomatidae,terrestrial,,Shield bugs,,https://bugguide.net/node/view/14006,,,,,,,,,,,,,
Lepidoptera,Adelidae,terrestrial,,Fairy moths,,https://bugguide.net/node/view/34115,,,,,,,,,,,,,
Diptera,Agromyzidae,terrestrial,,Leaf miner flies,,https://bugguide.net/node/view/28354,,,,,,,,,,,,,
Ephemeroptera,Ameletidae,aquatic,Larvae found in lotic depositional water,Combmouthed Minnow Mayflies,,"https://www.naturebob.com/sites/default/files/Mayflies%20by%20John%20Hudson,%20Katherine%20Hocker,%20Robert%20H.%20Armstrong.pdf, https://www.macroinvertebrates.org/taxa-info/ephemeroptera-larva/ameletidae/ameletus/dorsal",,,,,,,,,,,,,"https://www.naturebob.com/sites/default/files/Mayflies%20by%20John%20Hudson,%20Katherine%20Hocker,%20Robert%20H.%20Armstrong.pdf"
Psocodea,Amphipsocidae,terrestrial,,Hairy-winged Barklice,,https://en.wikipedia.org/wiki/Psocoptera,"appears to be only one species in NA, terrestrial","Lay eggs in foliage, and are found on bark. But also sometimes eat algae?",,,,,,,,,,,
Hymenoptera,Andrenidae,terrestrial,,"Miner, Bare-miner, Fairy, and Oxaeine Be",,https://bugguide.net/node/view/4968,,,,,,,,,,,,,
Diptera,Anisopodidae,terrestrial,,Wood gnats,,https://bugguide.net/node/view/12265,terrestrial,"Larvae found in or near decaying wood or vegetation, fermenting sap, animal manure, tree trunks, mud, and sometimes sewage",,,,,,,,,,,
Diptera,Anthomyiidae,terrestrial,,Root-maggot flies,,https://bugguide.net/node/view/8083,,,,,,,,,,,,,
Araneae,Anyphaenidae,terrestrial,,Ghost spiders,,https://bugguide.net/node/view/38439,,,,,,,,,,,,,
Hemiptera,Aphididae,terrestrial,,Aphids,,https://bugguide.net/node/view/147,,,,,,,,,,,,,
Hemiptera,Aphrophoridae,terrestrial,,Spittlebugs,,https://bugguide.net/node/view/145,terrestrial,,,,,,,,,,,,
Araneae,Araneidae,terrestrial,,Orb weavers,,https://bugguide.net/node/view/1972,,,,,,,,,,,,,
Trombidiformes,Arrenuridae,aquatic,,Arrenurus water mite,,https://en.wikipedia.org/wiki/Arrenuridae,likely aquatic,,,,,,,,,,,,
Diptera,Asilidae,terrestrial,,Robber flies,,https://bugguide.net/node/view/151,,Larvae usually in soil or decaying wood,,,,,,,,,,,
Ephemeroptera,Baetidae,aquatic,,Small mayflies or small minnow mayflies,,https://en.wikipedia.org/wiki/Baetidae,,,,,,,,,,,,,
Hemiptera,Berytidae,terrestrial,,Stilt Bugs,,https://www.britannica.com/animal/stilt-bug,,Found in home gardens and feeding on crops,,,,,,,,,,,
Diptera,Bibionidae,terrestrial,,March flies,,https://bugguide.net/node/view/3834,,,,,,,,,,,,,
Lepidoptera,Blastobasidae,terrestrial,,Scavenger moths,,https://bugguide.net/node/view/903637; https://en.wikipedia.org/wiki/Blastobasidae,,,,,,,,,,,,,
Mesostigmata,Blattisociidae,terrestrial,,Mites,,https://en.wikipedia.org/wiki/Blattisociidae,terrestrial,,,,,,,,,,,,
Diptera,Bombyliidae,terrestrial,,Bee flies,,https://bugguide.net/node/view/185,"Larvae mostly parasitoids, terrestrial",,,,,,,,,,,,
Coleoptera,Bostrichidae,terrestrial,,Horned powder-post beetles,,https://bugguide.net/node/view/18100; https://idtools.org/id/wbb/families/Wood_Boring_Beetle_Keys/Woodboring_Families/Media/Html/Fact_sheets/Bostrichidae.html,terrestrial,,,,,,,,,,,,
Collembola,Bourletiellidae,terrestrial,,Springtails,"Danielle says terrestrial, Tim says unknown. Going with terrestrial.",https://bugguide.net/node/view/85554/,,Found in soil and leaf litter,,,,,,,,,,,
Hymenoptera,Braconidae,terrestrial,,Braconid wasps,,https://bugguide.net/node/view/170,,Parasitic,,,,,,,,,,,
Coleoptera,Buprestidae,terrestrial,,Metallic Wood-boring Beetles,,https://en.wikipedia.org/wiki/Buprestidae,,,,,,,,,,,,,
Psocoptera/Psocodea,Caeciliusidae,terrestrial,,Lizard barklice,,https://en.wikipedia.org/wiki/Psocoptera; https://bugguide.net/node/view/83286,should be terrestrial?,Egg deposition occurs in terrestrial environments in crevices or on foliage,,,,,,,,,,,
Ephemeroptera,Caenidae,aquatic,,Small squaregilled mayflies,,https://www.waterbugkey.vcsu.edu/php/familydetail.php?idnum=8&show=1405&fa=Caenidae&o=Ephemeroptera&ls=larvae; https://bugguide.net/node/view/45092,,,,,,,,,,,,,
Diptera,Calliphoridae,terrestrial,,Blow flies,,https://en.wikipedia.org/wiki/Calliphoridae,,Larvae are scavengers of carrion and dung,,,,,,,,,,,
Odonata,Calopterygidae,aquatic,,Broad-winged damselflies,,https://bugguide.net/node/view/362,,,,,,,,,,,,,
Coleoptera,Cantharidae,terrestrial,,Soldier beetles,,https://bugguide.net/node/view/118,,,,,,,,,,,,,
Coleoptera,Carabidae,terrestrial,,Ground beetles,,https://bugguide.net/node/view/186,terrestrial,,,,,,,,,,,,
Diptera,Cecidomyiidae,terrestrial,,Gall midges or gall gnats,,https://bugguide.net/node/view/8383,"terrestrial, galls",,,,,,,,,,,,
Coleoptera,Cerambycidae,terrestrial,,Long-horned beetles,,https://en.wikipedia.org/wiki/Longhorn_beetle,,,,,,,,,,,,,
Siphonaptera,Ceratophyllidae,terrestrial,,Fleas,,https://en.wikipedia.org/wiki/Ceratophyllidae,terrestrial,,,,,,,,,,,,
Diptera,Ceratopogonidae,both,,Biting midges,,https://en.wikipedia.org/wiki/Ceratopogonidae,,"""They are not strictly aquatic or terrestrial.""",,,,,,,,,,,
Diptera,Chaoboridae,aquatic,,Phantom midges or glassworms,,https://en.wikipedia.org/wiki/Chaoboridae,,,,,,,,,,,,,
Diptera,Chironomidae,aquatic,,Non-biting midges,,https://en.wikipedia.org/wiki/Chironomidae,,,,,,,,,,,,,
Plecoptera,Chloroperlidae,aquatic,,Green stoneflies,,https://bugguide.net/node/view/43112,,,,,,,,,,,,,
Diptera,Chloropidae,terrestrial,,Frit flies,,https://bugguide.net/node/view/15512,"Looks like they sometimes feed on aquatic plants, but possible above the water line? Might need digging",,,,,,,,,,,,
Coleoptera,Chrysomelidae,terrestrial,,Leaf beetles,,https://bugguide.net/node/view/180,,,,,,,,,,,,,
Hemiptera,Cicadellidae,terrestrial,,Leafhoppers,,https://bugguide.net/node/view/146,,,,,,,,,,,,,
Coleoptera,Cleridae,terrestrial,,Checkered beetles,,https://en.wikipedia.org/wiki/Cleridae,,,,,,,,,,,,,
Araneae,Clubionidae,terrestrial,,Sac spiders,,http://www.bio.brandeis.edu/fieldbio/Spiders_Savransky_Suhd_Brondstatter/Pages/Fam_Clubionidae.html,,,,,,,,,,,,,
Diptera,Clusiidae,terrestrial,,Druid flies,,https://bugguide.net/node/view/51816; https://en.wikipedia.org/wiki/Clusiidae,Appear to be specific to decaying wood,Larvae are found in the bark of trees (from wikipedia?),,,,,,,,,,,
Coleoptera,Coccinellidae,terrestrial,,Lady bug,,https://en.wikipedia.org/wiki/Coccinellidae,,,,,,,,,,,,,
Odonata,Coenagrionidae,aquatic,,Narrow-winged damselflies,,http://cfb.unh.edu/StreamKey/html/organisms/OOdonata/SO_Zygoptera/FCoenagrionidae/Coenagrionidae.html,,,,,,,,,,,,,
Lepidoptera,Coleophoridae,terrestrial,,Casebearer moths,,https://bugguide.net/node/view/22006,,,,,,,,,,,,,
Diptera,Conopidae,terrestrial,,Thick-headed flies,,https://bugguide.net/node/view/92,,,,,,,,,,,,,
Odonata,Corduliidae,aquatic,,Emeralds,,https://bugguide.net/node/view/2594; https://en.wikipedia.org/wiki/Odonata,,,,,,,,,,,,,
